epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1019.14,0.54973,0.78955,0.30818,0.89285,0.97198,0.98211,0.98894,0.8974,0.98179,0.94595,0.9699,0.80174,0.49263,0.62032,0.25593,0.89091,0.0005942,0.0005942,0.0005942
73,1032.99,0.54947,0.78985,0.30867,0.89379,0.97014,0.97941,0.98822,0.89643,0.98507,0.95238,0.9758,0.81888,0.49481,0.66338,0.25469,0.89233,0.0005744,0.0005744,0.0005744
74,1046.63,0.55091,0.8076,0.31055,0.89328,0.97434,0.98456,0.98824,0.89819,0.98128,0.94723,0.97005,0.82769,0.48931,0.64418,0.25203,0.88974,0.0005546,0.0005546,0.0005546
75,1060.39,0.54171,0.78334,0.30487,0.89188,0.96962,0.9858,0.98816,0.87885,0.98275,0.95238,0.97553,0.83518,0.5427,0.64033,0.26247,0.89434,0.0005348,0.0005348,0.0005348
76,1074.17,0.53745,0.78005,0.30465,0.89095,0.97075,0.98327,0.98828,0.89868,0.98668,0.95326,0.97442,0.83496,0.47002,0.66014,0.25192,0.88887,0.000515,0.000515,0.000515
77,1087.97,0.54539,0.78377,0.3045,0.89111,0.97198,0.98202,0.98734,0.89412,0.98221,0.94852,0.97385,0.82053,0.48866,0.67371,0.25514,0.88959,0.0004952,0.0004952,0.0004952
78,1102.15,0.5405,0.78751,0.30381,0.89242,0.9757,0.98169,0.98799,0.89799,0.98092,0.9408,0.96977,0.80855,0.47837,0.61557,0.25129,0.88864,0.0004754,0.0004754,0.0004754
79,1115.77,0.54361,0.78559,0.30232,0.89014,0.97559,0.97725,0.98903,0.89868,0.98013,0.95243,0.97512,0.82572,0.47998,0.62745,0.24758,0.8915,0.0004556,0.0004556,0.0004556
80,1129.39,0.53446,0.77536,0.29751,0.89159,0.9721,0.98637,0.98861,0.90028,0.98419,0.94723,0.97617,0.82697,0.4766,0.62372,0.24581,0.89017,0.0004358,0.0004358,0.0004358
81,1142.95,0.53386,0.77049,0.29801,0.88777,0.97794,0.97426,0.98807,0.89893,0.98265,0.94741,0.96883,0.81069,0.48195,0.65698,0.25159,0.88776,0.000416,0.000416,0.000416
82,1156.51,0.53673,0.76536,0.298,0.89232,0.98315,0.97649,0.98923,0.9029,0.98355,0.93951,0.96975,0.80978,0.47237,0.65443,0.24632,0.8888,0.0003962,0.0003962,0.0003962
83,1170.36,0.53487,0.78793,0.29984,0.88819,0.97689,0.97909,0.98765,0.90349,0.97887,0.94723,0.97496,0.83917,0.47241,0.63508,0.24291,0.88926,0.0003764,0.0003764,0.0003764
84,1184.08,0.53178,0.76589,0.29666,0.88566,0.97078,0.98456,0.98913,0.9,0.984,0.94852,0.97687,0.81571,0.4712,0.60951,0.24543,0.88893,0.0003566,0.0003566,0.0003566
85,1197.94,0.53765,0.78348,0.29893,0.88631,0.97566,0.9801,0.98755,0.90104,0.98395,0.95495,0.97773,0.83429,0.47842,0.64592,0.24232,0.89009,0.0003368,0.0003368,0.0003368
86,1211.77,0.52514,0.75215,0.29182,0.88555,0.97092,0.98831,0.98876,0.90182,0.9815,0.9558,0.97657,0.82615,0.46781,0.624,0.24324,0.88723,0.000317,0.000317,0.000317
87,1225.54,0.53312,0.76803,0.29462,0.88718,0.97204,0.9843,0.98704,0.90458,0.97541,0.95367,0.97326,0.82086,0.46107,0.63463,0.24358,0.88624,0.0002972,0.0002972,0.0002972
88,1239.57,0.52682,0.75974,0.29198,0.88811,0.96828,0.98219,0.98916,0.90759,0.98141,0.95147,0.97648,0.83314,0.46442,0.65528,0.24035,0.88649,0.0002774,0.0002774,0.0002774
89,1253.62,0.52477,0.7618,0.29098,0.88188,0.97332,0.97941,0.98716,0.9023,0.9867,0.95446,0.97595,0.82358,0.47551,0.63757,0.24381,0.88707,0.0002576,0.0002576,0.0002576
90,1267.49,0.52633,0.75464,0.29425,0.88578,0.97573,0.97683,0.98764,0.90255,0.98468,0.95495,0.97513,0.81938,0.46889,0.64144,0.23888,0.8876,0.0002378,0.0002378,0.0002378
91,1311.09,0.47326,0.70553,0.262,0.87569,0.97716,0.97941,0.98799,0.89875,0.98462,0.95753,0.9755,0.82509,0.47954,0.66417,0.24065,0.88939,0.000218,0.000218,0.000218
92,1324.84,0.47027,0.69249,0.25777,0.87552,0.9756,0.97941,0.98883,0.90379,0.97512,0.95109,0.97221,0.81317,0.47457,0.64816,0.2438,0.88685,0.0001982,0.0001982,0.0001982
93,1338.78,0.4666,0.69738,0.254,0.87388,0.97805,0.97488,0.98882,0.903,0.98086,0.95238,0.97703,0.82869,0.47164,0.67912,0.24204,0.88754,0.0001784,0.0001784,0.0001784
94,1352.59,0.46245,0.69046,0.25256,0.87101,0.9774,0.97555,0.98787,0.89998,0.98019,0.95522,0.9748,0.81845,0.47339,0.66166,0.24348,0.88707,0.0001586,0.0001586,0.0001586
95,1366.4,0.45898,0.67759,0.25048,0.87107,0.97674,0.97941,0.98853,0.89915,0.98273,0.95216,0.97547,0.82903,0.47701,0.60189,0.24051,0.88758,0.0001388,0.0001388,0.0001388
96,1380,0.46054,0.68315,0.25045,0.87112,0.97893,0.97683,0.98805,0.90525,0.9815,0.95592,0.9766,0.83725,0.46336,0.60172,0.23786,0.88581,0.000119,0.000119,0.000119
97,1393.79,0.45744,0.68441,0.24781,0.87278,0.97687,0.97854,0.98903,0.90521,0.97804,0.95753,0.97712,0.83067,0.46395,0.66424,0.23721,0.88729,9.92e-05,9.92e-05,9.92e-05
98,1407.72,0.45225,0.67171,0.2441,0.8718,0.97814,0.97885,0.98901,0.90701,0.98113,0.95624,0.97622,0.82728,0.46452,0.59669,0.2355,0.88554,7.94e-05,7.94e-05,7.94e-05
99,1421.6,0.45547,0.69186,0.24612,0.86669,0.97767,0.97683,0.98875,0.90638,0.98046,0.95624,0.97748,0.83128,0.46375,0.65428,0.23463,0.88598,5.96e-05,5.96e-05,5.96e-05
100,1435.49,0.45058,0.67301,0.2464,0.86502,0.97626,0.97683,0.98886,0.90635,0.97814,0.95495,0.97765,0.82843,0.46374,0.61436,0.23511,0.88606,3.98e-05,3.98e-05,3.98e-05
